"fecha_inicio_sintomas","Departamento","frecuencia","media_movil_7d"
2020-03-21,"Antioquia",5,8
2020-03-21,"Atlántico",6,8.14285714285714
2020-03-21,"Bogotá, D.C.",81,19.4285714285714
2020-03-21,"Bolívar",5,20
2020-03-21,"Boyacá",1,20
2020-03-21,"Caldas",1,19.5714285714286
2020-03-21,"Cauca",3,14.5714285714286
2020-03-21,"Cesar",4,14.4285714285714
2020-03-21,"Cundinamarca",5,14.2857142857143
2020-03-21,"Córdoba",1,2.85714285714286
2020-03-21,"Huila",5,2.85714285714286
2020-03-21,"Magdalena",6,3.57142857142857
2020-03-21,"Meta",1,3.57142857142857
2020-03-21,"Nariño",4,3.71428571428571
2020-03-21,"Quindio",3,3.57142857142857
2020-03-21,"Risaralda",3,3.28571428571429
2020-03-21,"Santander",1,3.28571428571429
2020-03-21,"Tolima",2,2.85714285714286
2020-03-21,"Valle del Cauca",23,5.28571428571429
2020-03-22,"Antioquia",11,6.71428571428571
2020-03-22,"Atlántico",15,8.28571428571429
2020-03-22,"Bogotá, D.C.",60,16.4285714285714
2020-03-22,"Bolívar",7,17
2020-03-22,"Boyacá",3,17.2857142857143
2020-03-22,"Caldas",1,17.1428571428571
2020-03-22,"Cundinamarca",5,14.5714285714286
2020-03-22,"Huila",3,13.4285714285714
2020-03-22,"Magdalena",1,11.4285714285714
2020-03-22,"Meta",1,3
2020-03-22,"Nariño",1,2.14285714285714
2020-03-22,"Norte de Santander",3,2.14285714285714
2020-03-22,"Quindio",7,3
2020-03-22,"Risaralda",3,2.71428571428571
2020-03-22,"Santander",4,2.85714285714286
2020-03-22,"Valle del Cauca",22,5.85714285714286
2020-03-23,"Antioquia",14,7.71428571428571
2020-03-23,"Atlántico",1,7.71428571428571
2020-03-23,"Bogotá, D.C.",65,16.5714285714286
2020-03-23,"Bolívar",4,16.1428571428571
2020-03-23,"Boyacá",1,15.8571428571429
2020-03-23,"Caldas",3,15.7142857142857
2020-03-23,"Casanare",1,12.7142857142857
2020-03-23,"Cauca",1,10.8571428571429
2020-03-23,"Cesar",1,10.8571428571429
2020-03-23,"Chocó",1,1.71428571428571
2020-03-23,"Cundinamarca",5,1.85714285714286
2020-03-23,"Huila",6,2.57142857142857
2020-03-23,"Magdalena",3,2.57142857142857
2020-03-23,"Nariño",1,2.57142857142857
2020-03-23,"Norte de Santander",1,2.57142857142857
2020-03-23,"Quindio",1,2.57142857142857
2020-03-23,"Risaralda",2,2.71428571428571
2020-03-23,"San Andrés",1,2.14285714285714
2020-03-23,"Santander",1,1.42857142857143
2020-03-23,"Valle del Cauca",35,6
2020-03-24,"Antioquia",10,7.28571428571429
2020-03-24,"Atlántico",7,8.14285714285714
2020-03-24,"Bogotá, D.C.",49,15
2020-03-24,"Bolívar",5,15.4285714285714
2020-03-24,"Boyacá",1,15.4285714285714
2020-03-24,"Caldas",2,15.5714285714286
2020-03-24,"Cesar",1,10.7142857142857
2020-03-24,"Cundinamarca",11,10.8571428571429
2020-03-24,"Huila",1,10
2020-03-24,"Magdalena",5,3.71428571428571
2020-03-24,"Meta",3,3.42857142857143
2020-03-24,"Nariño",3,3.71428571428571
2020-03-24,"Norte de Santander",4,4
2020-03-24,"Quindio",2,4.14285714285714
2020-03-24,"Risaralda",4,3.14285714285714
2020-03-24,"Santander",5,3.71428571428571
2020-03-24,"Valle del Cauca",25,6.57142857142857
2020-03-25,"Antioquia",11,7.71428571428571
2020-03-25,"Atlántico",4,7.85714285714286
2020-03-25,"Bogotá, D.C.",73,17.7142857142857
2020-03-25,"Bolívar",5,18.1428571428571
2020-03-25,"Boyacá",3,18
2020-03-25,"Caldas",3,17.7142857142857
2020-03-25,"Caquetá",1,14.2857142857143
2020-03-25,"Cauca",2,13
2020-03-25,"Cesar",1,12.5714285714286
2020-03-25,"Cundinamarca",5,2.85714285714286
2020-03-25,"Córdoba",1,2.28571428571429
2020-03-25,"Huila",3,2.28571428571429
2020-03-25,"Magdalena",3,2.28571428571429
2020-03-25,"Meta",1,2.28571428571429
2020-03-25,"Nariño",5,2.71428571428571
2020-03-25,"Norte de Santander",2,2.85714285714286
2020-03-25,"Quindio",2,2.42857142857143
2020-03-25,"Risaralda",1,2.42857142857143
2020-03-25,"Santander",3,2.42857142857143
2020-03-25,"Valle del Cauca",32,6.57142857142857
2020-03-26,"Antioquia",15,8.57142857142857
2020-03-26,"Atlántico",4,8.42857142857143
2020-03-26,"Bogotá, D.C.",70,18.1428571428571
2020-03-26,"Bolívar",6,18.7142857142857
2020-03-26,"Caldas",6,19.4285714285714
2020-03-26,"Casanare",1,19.1428571428571
2020-03-26,"Cauca",1,14.7142857142857
2020-03-26,"Cesar",1,12.7142857142857
2020-03-26,"Cundinamarca",5,12.8571428571429
2020-03-26,"Huila",4,3.42857142857143
2020-03-26,"Magdalena",3,3
2020-03-26,"Meta",1,2.28571428571429
2020-03-26,"Nariño",1,2.28571428571429
2020-03-26,"Norte de Santander",2,2.42857142857143
2020-03-26,"Risaralda",1,2.42857142857143
2020-03-26,"San Andrés",1,1.85714285714286
2020-03-26,"Santander",1,1.42857142857143
2020-03-26,"Valle del Cauca",29,5.14285714285714
2020-03-27,"Antioquia",8,6.14285714285714
2020-03-27,"Atlántico",3,6.42857142857143
2020-03-27,"Bogotá, D.C.",81,17.7142857142857
2020-03-27,"Bolívar",4,18.1428571428571
