"nombre_departamento","grupo_edad","casos"
"bolivar",48,23
"bolivar",49,21
"bolivar",50,20
"bolivar",51,25
"bolivar",52,39
"bolivar",53,29
"bolivar",54,37
"bolivar",55,38
"bolivar",56,39
"bolivar",57,37
"bolivar",58,53
"bolivar",59,51
"bolivar",60,54
"bolivar",61,39
"bolivar",62,42
"bolivar",63,44
"bolivar",64,43
"bolivar",65,53
"bolivar",66,58
"bolivar",67,54
"bolivar",68,52
"bolivar",69,75
"bolivar",70,50
"bolivar",71,70
"bolivar",72,67
"bolivar",73,49
"bolivar",74,53
"bolivar",75,54
"bolivar",76,45
"bolivar",77,46
"bolivar",78,44
"bolivar",79,56
"bolivar",80,68
"bolivar",81,51
"bolivar",82,36
"bolivar",83,52
"bolivar",84,405
"casanare",0,4
"casanare",1,1
"casanare",5,1
"casanare",9,1
"casanare",16,1
"casanare",18,1
"casanare",20,1
"casanare",22,2
"casanare",23,2
"casanare",25,1
"casanare",26,5
"casanare",28,3
"casanare",29,1
"casanare",30,3
"casanare",31,3
"casanare",32,5
"casanare",33,6
"casanare",34,8
"casanare",35,7
"casanare",36,14
"casanare",37,7
"casanare",38,13
"casanare",39,5
"casanare",40,12
"casanare",41,14
"casanare",42,21
"casanare",43,11
"casanare",44,7
"casanare",45,19
"casanare",46,13
"casanare",47,18
"casanare",48,20
"casanare",49,9
"casanare",50,25
"casanare",51,26
"casanare",52,16
"casanare",53,22
"casanare",54,11
"casanare",55,24
"casanare",56,20
"casanare",57,26
"casanare",58,19
"casanare",59,26
"casanare",60,27
"casanare",61,12
"casanare",62,14
"casanare",63,29
"casanare",64,20
"casanare",65,19
"casanare",66,23
"casanare",67,22
"casanare",68,21
"casanare",69,23
"casanare",70,17
"casanare",71,17
"casanare",72,22
"casanare",73,18
"casanare",74,19
"casanare",75,15
"casanare",76,22
"casanare",77,21
"casanare",78,23
"casanare",79,24
"casanare",80,22
"casanare",81,7
"casanare",82,16
"casanare",83,11
"casanare",84,111
"cauca",0,1
"cauca",3,1
"cauca",5,1
"cauca",9,1
"cauca",11,1
"cauca",14,1
"cauca",15,1
"cauca",19,1
"cauca",21,3
"cauca",22,1
"cauca",23,1
"cauca",25,1
"cauca",26,4
"cauca",27,3
"cauca",28,3
"cauca",29,4
"cauca",30,2
"cauca",31,4
"cauca",32,5
"cauca",33,6
"cauca",34,2
"cauca",35,4
"cauca",36,5
"cauca",37,4
"cauca",38,8
"cauca",39,8
"cauca",40,9
"cauca",41,12
"cauca",42,9
"cauca",43,5
"cauca",44,12
"cauca",45,7
"cauca",46,9
"cauca",47,8
"cauca",48,16
"cauca",49,17
"cauca",50,16
"cauca",51,11
"cauca",52,16
"cauca",53,20
"cauca",54,18
"cauca",55,17
"cauca",56,19
"cauca",57,28
"cauca",58,19
"cauca",59,25
"cauca",60,28
"cauca",61,21
"cauca",62,35
"cauca",63,37
"cauca",64,40
"cauca",65,30
"cauca",66,37
"cauca",67,44
"cauca",68,59
"cauca",69,43
"cauca",70,43
"cauca",71,47
"cauca",72,57
"cauca",73,49
"cauca",74,46
"cauca",75,45
"cauca",76,52
"cauca",77,49
"cauca",78,44
"cauca",79,48
"cauca",80,52
"cauca",81,58
"cauca",82,61
"cauca",83,63
"cauca",84,404
